# native-membership.tsv — the platform's implemented surface (upstream boundary program, batch 5).
# Membership is OURS; the signature text is generated from the pinned checkouts.
# constant	fqn	signatureKey — sorted by fqn, then key.
GREATER_THAN__BOOLEAN_0_1__BOOLEAN_0_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::Boolean[0..1],meta::pure::metamodel::type::Boolean[0..1])
GREATER_THAN__DATE_0_1__DATE_0_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[0..1])
GREATER_THAN__DATE_0_1__DATE_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::Date[0..1],meta::pure::metamodel::type::Date[1])
GREATER_THAN__DATE_1__DATE_0_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[0..1])
GREATER_THAN__DATE_1__DATE_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::Date[1],meta::pure::metamodel::type::Date[1])
GREATER_THAN__NUMBER_0_1__NUMBER_0_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[0..1])
GREATER_THAN__NUMBER_0_1__NUMBER_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::Number[0..1],meta::pure::metamodel::type::Number[1])
GREATER_THAN__NUMBER_1__NUMBER_0_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[0..1])
GREATER_THAN__NUMBER_1__NUMBER_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::Number[1],meta::pure::metamodel::type::Number[1])
GREATER_THAN__STRING_0_1__STRING_0_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[0..1])
GREATER_THAN__STRING_0_1__STRING_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::String[0..1],meta::pure::metamodel::type::String[1])
GREATER_THAN__STRING_1__STRING_0_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[0..1])
GREATER_THAN__STRING_1__STRING_1	meta::pure::functions::boolean::greaterThan	meta::pure::functions::boolean::greaterThan(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1])
GREATER_THAN_EQUAL__BOOLEAN_0_1__BOOLEAN_0_1	meta::pure::functions::boolean::greaterThanEqual	meta::pure::functions::boolean::greaterThanEqual(meta::pure::metamodel::type::Boolean[0..1],meta::pure::metamodel::type::Boolean[0..1])
